gliederungsschluessel,gliederungsebene,name,url
10208002,OV,Kallmünz,
10208003,OV,Donaustauf-Sulzbach,
10208100,KV,Rhön-Grabfeld,http://www.gruene-rhoen-grabfeld.de
10208101,OV,Königshofen/Umgebung,
10208102,OV,Bad Neustadt,
10208105,OV,Ostheim,
10208106,OV,Mellrichstadt,
10208200,KV,Rosenheim,http://www.gruene-rosenheim.de
10208201,OV,Feldkirchen/Westerham,
10208202,OV,Rosenheim,
10208203,OV,Wasserburg,www.gruene-wasserburg.de
10208204,OV,Bernau,
10208205,OV,Raubling,
10208207,OV,Großkarolinenfeld,
10208208,OV,Prien,
10208209,OV,Neubeuern,
10208210,OV,Bad Endorf,
10208211,OV,Kolbermoor,
10208212,OV,Aschau-Frasdorf-Samerberg,
10208213,OV,Stephanskirchen,
10208214,OV,Oberaudorf,
10208215,OV,Bad Aibling,
10208216,OV,Bruckmühl,
10208217,OV,Eiselfing,
10208400,KV,Roth,http://www.gruene-roth.de
10208401,OV,Roth,
10208402,OV,Schwanstetten,
10208403,OV,Wendelstein,
10208405,OV,Büchenbach-Rednitzhembach,
10208406,OV,Georgensgmünd,
10208407,OV,Hilpoltstein,
10208500,KV,Rottal-Inn,http://www.gruene-rottal-inn.de
10208501,OV,Eggenfelden,
10208502,OV,Inntal,
10208503,OV,Pfarrkirchen,
10208504,OV,Postmünster,
10208600,KV,Schwabach,http://www.gruene-schwabach.de
10208700,KV,Schwandorf,http://www.gruene-schwandorf.de
10208702,OV,Bruck,
10208703,OV,Nittenau,
10208704,OV,Schwandorf,
10208706,OV,Burglengenfeld,
10208800,KV,Schweinfurt,http://www.gruene-schweinfurt.de
10208803,OV,Sennfeld,
10208804,OV,Sulzheim,
10208805,OV,Werneck,
10208806,OV,Euerbach-Geldersheim,
10209000,KV,Starnberg,http://www.gruene-starnberg.de
10209004,OV,Gauting,
10209005,OV,Gilching,
10209006,OV,Herrsching,
10209009,OV,Pöcking,
10209010,OV,Starnberg,
10209011,OV,Tutzing,
10209012,OV,Weßling,
10209013,OV,Wörthsee,
10209014,OV,Inning,
10209015,OV,Seefeld,
10209017,OV,Krailling,
10209200,KV,Straubing-Bogen,www.gruene-straubing-bogen.de
10209201,OV,Parkstetten,
10209300,KV,Tirschenreuth,http://www.gruenetir.de
10209301,OV,Kemnather-Land,
10209302,OV,Tirschenreuth,
10209400,KV,Traunstein,www.gruene-traunstein.de
10209401,OV,Bergen,
10209402,OV,Achental,
10209403,OV,Traunreut,
10209404,OV,Waging,
10209405,OV,Chiemsee-Ost,
10209406,OV,Trostberg,
10209407,OV,Traunstein,
10209408,OV,Salzachtal,
10209409,OV,Übersee,http://www.gruene-traunstein.de/bersee.html
10209410,OV,Siegsdorf,
10209500,KV,Unterallgäu,http://www.gruene-unterallgaeu.de
10209501,OV,Bad Wörishofen,
10209502,OV,Markt-Rettenbach,
10209503,OV,Türkheim,
10209504,OV,Mindelheim,
10209600,KV,Weiden,http://www.gruene-weiden.de
10209700,KV,Weilheim-Schongau,http://www.gruene-weilheim.de
10209701,OV,Penzberg,http://www.gruene-penzberg.de/ov.htm
10209702,OV,Weilheim,
10209703,OV,Peiting,
10209800,KV,Weißenburg-Gunzenhausen,http://www.gruene-weissenburg.de/
10209801,OV,Gunzenhausen,http://www.gruene-gun.de
10209802,OV,Weißenburg,
10209900,KV,Wunsiedel,http://www.gruene-fichtelgebirge.de
10209901,OV,Marktredwitz,
10209902,OV,Wunsiedel,
10209903,OV,Selb,
10210000,KV,Würzburg-Land,http://www.gruene-wuerzburg-land.de
10210003,OV,Rottendorf,
10210004,OV,Veitshöchheim,
10210005,OV,Waldbüttelbrunn,
10210008,OV,Kürnach-Estenfeld,
10210009,OV,Eisingen,
10210010,OV,Gerbrunn-Randersacker-Theilheim,
10210100,KV,Würzburg-Stadt,http://www.gruene-wuerzburg.de
10300000,LV,Berlin,http://www.gruene-berlin.de
10300100,KV,Berlin-Mitte,http://gruene-mitte.de/
10300101,OV,Washington,http://gruene-washington.de/neuigkeiten/
10300200,KV,Berlin-Friedrichshain/Kreuzberg,http://www.frieke.de
10300300,KV,Berlin-Pankow,http://www.gruene-pankow.de
